asset_id,title,lab_id,type,style_family,render_style,priority,visual_clue,learner_action,prompt_or_source_note,output_path,status,validation
VIS-001,RJ45 Ethernet cable,02,object reference,photo reference,clean tabletop photo,high,Clear plastic RJ45 connector and cable clip,Match cable to Ethernet port,"Generate a realistic close-up photo of an RJ45 Ethernet cable on a neutral tabletop, no branding, clear connector clip visible","assets/generated/VIS-001-rj45-ethernet-cable-photo-reference.png",approved,"Learner can distinguish Ethernet from USB and HDMI"
VIS-002,Ethernet port on laptop or desktop,02,object reference,photo reference,clean hardware photo,high,Rectangular Ethernet port with contact pins,Match RJ45 cable to port,"Generate or source a close-up image of an Ethernet port on a generic computer, neutral lighting, no logos","assets/generated/VIS-002-ethernet-port-photo-reference.png",approved,"Learner can identify where an Ethernet cable connects"
VIS-003,HDMI cable and port,01,object reference,photo reference,side-by-side comparison,high,Flat trapezoid HDMI connector shape,Match display cable to display port,"Generate a realistic side-by-side photo of HDMI cable end and HDMI port, neutral background, no branding","assets/generated/VIS-003-hdmi-cable-port-photo-reference.png",approved,"Learner can identify HDMI as a display connection"
VIS-004,USB-A and USB-C comparison,01,instructional image,blue lineart instruction,labeled comparison card,high,Large shape difference between USB-A and USB-C,Sort cable cards by connector type,"Create a blue on white lineart illustration comparing USB-A and USB-C connectors with simple labels","assets/generated/VIS-004-usb-a-usb-c-blue-lineart.png",approved,"Learner can sort USB-A and USB-C correctly"
VIS-005,RAM stick,01,object reference,photo reference,clean tabletop photo,high,Memory module with gold contacts,Point to RAM and explain purpose,"Generate a realistic photo of a desktop RAM stick on an anti-static mat, no branding","",planned,"Learner can identify RAM and handle it by the edges"
VIS-006,SATA SSD and M.2 SSD comparison,01,instructional image,blue lineart instruction,labeled comparison card,medium,Two storage form factors shown side by side,Match storage type to device example,"Create a blue on white lineart illustration comparing a 2.5 inch SATA SSD and an M.2 SSD","",planned,"Learner can tell the two storage types apart"
VIS-007,Router switch client path,02,instructional image,blue lineart instruction,network path diagram,high,Router connected to switch and client devices,Trace request path with finger,"Create a blue on white lineart network diagram showing laptop to router to switch to desktop with directional arrows","",planned,"Learner can trace the path from client to router"
VIS-008,DNS visual clue card,02,instructional image,blue lineart instruction,minimal troubleshooting diagram,high,Website name changing into IP address,Explain DNS in one sentence,"Create a blue on white lineart card showing example.com becoming 93.184.216.34, with DNS as the lookup step","",planned,"Learner can explain DNS as name lookup"
VIS-009,No display symptom card,01,activity asset,simplified cartoon asset,troubleshooting clue card,high,Monitor standby light and powered desktop tower,Choose first safe display checks,"Create a simplified cartoon troubleshooting card with a desktop tower on, monitor standby light, and no image on screen","",planned,"Learner chooses monitor input and cable checks before replacing parts"
VIS-010,Phishing email clue card,04,instructional image,blue lineart instruction,annotated fake email,high,Urgent message with unknown sender and suspicious link,Identify three phishing signs,"Create a blue on white lineart fake phishing email teaching card with callouts for urgency, unknown sender, and mismatched link","",planned,"Learner identifies three phishing indicators without clicking"
VIS-011,Windows storage low visual,03,instructional image,blue lineart instruction,OS screenshot-style card,medium,Storage bar nearly full,Choose safe cleanup check,"Create a blue on white lineart generic OS settings illustration showing low disk space, no real Windows branding","",planned,"Learner identifies disk space as a performance clue"
VIS-012,Troubleshooting board,05,activity asset,simplified cartoon asset,kanban board visual,medium,Columns New Diagnose Fixing Document Done,Move ticket through stages,"Create a simplified cartoon help desk ticket board with five columns and one ticket moving across","",planned,"Learner follows ticket flow without skipping documentation"
VIS-013,Laptop hardware map,06,instructional image,blue lineart instruction,generated PNG view set with code-native hotspots,high,Laptop ports and internal parts shown with small numbered hotspots,Hover numbered hotspots and type matching part names,"Generate a text-free blue on white laptop hardware map set suitable for code-native numbered hotspots","assets/generated/VIS-013-laptop-hardware-map-gpt-sheet.png",final candidate,"Learner can use the map as a clear visual reference without labels covering parts"
VIS-013A,Laptop open view unnumbered,06,instructional image,blue lineart instruction,generated PNG hardware view,high,Open laptop with display keyboard touchpad and speakers,Study visual anatomy before matching,"Generate a clean blue on white open laptop view without labels or numbers","assets/generated/VIS-013A-laptop-open-view-gpt-unnumbered.png",final candidate,"Learner can orient to the laptop before choosing anchors"
VIS-013A-N,Laptop open view numbered,06,instructional image,blue lineart instruction,generated numbered PNG hardware view,high,Open laptop with elegant numeric callouts,Future numbered study or quiz variant,"Generate a clean blue on white open laptop view with elegant numeric callouts","assets/generated/VIS-013A-laptop-open-view-gpt-numbered.png",saved variant,"Numbered open view is saved but needs review before live use"
VIS-013B,Laptop external ports view unnumbered,06,instructional image,blue lineart instruction,generated PNG hardware view,high,Side port shapes for USB-C HDMI Ethernet power and audio,Identify USB-C and HDMI by numbered external hotspots,"Generate a clean blue on white laptop external ports view without labels or numbers","assets/generated/VIS-013B-laptop-external-ports-view-gpt-unnumbered.png",final candidate,"Learner can identify USB-C and HDMI from shape cues"
VIS-013B-N,Laptop external ports view numbered,06,instructional image,blue lineart instruction,generated numbered PNG hardware view,high,Side port shapes with elegant numeric callouts,Future numbered study or quiz variant,"Generate a clean blue on white laptop external ports view with elegant numeric callouts","assets/generated/VIS-013B-laptop-external-ports-view-gpt-numbered.png",saved variant,"Numbered external ports view is saved for future use"
VIS-013C,Laptop internal view unnumbered,06,instructional image,blue lineart instruction,generated PNG hardware view,high,Internal fan battery RAM M.2 SSD and Wi-Fi card,Identify RAM SSD and Wi-Fi by numbered internal hotspots,"Generate a clean blue on white laptop internal view without labels or numbers","assets/generated/VIS-013C-laptop-internal-view-gpt-unnumbered.png",final candidate,"Learner can distinguish internal laptop parts by position and shape"
VIS-013C-N,Laptop internal view numbered,06,instructional image,blue lineart instruction,generated numbered PNG hardware view,high,Internal parts with elegant numeric callouts,Future numbered study or quiz variant,"Generate a clean blue on white laptop internal view with elegant numeric callouts","assets/generated/VIS-013C-laptop-internal-view-gpt-numbered.png",saved variant,"Numbered internal view is saved for future use"
VIS-013D,Laptop front LED view unnumbered,06,instructional image,blue lineart instruction,generated PNG hardware view,medium,Front status LED indicators,Study front indicators for future troubleshooting tokens,"Generate a clean blue on white laptop front LED view without labels or numbers","assets/generated/VIS-013D-laptop-front-led-view-gpt-unnumbered.png",final candidate,"Learner can connect front LEDs to status troubleshooting later"
VIS-013D-N,Laptop front LED view numbered,06,instructional image,blue lineart instruction,generated numbered PNG hardware view,medium,Front status LEDs with elegant numeric callouts,Future numbered study or quiz variant,"Generate a clean blue on white laptop front LED view with elegant numeric callouts","assets/generated/VIS-013D-laptop-front-led-view-gpt-numbered.png",saved variant,"Numbered front LED view is saved for future use"
